REP_FULLNAME,REP_STATE,REP_TYPE,REP_PARTY,COMPANY_TICKER,COMPANY_CODE,COMPANY_COUNTRY,COMPANY_NAME,TRANSACTION_TYPE,TRANSACTION_DATE,TRANSACTION_PRICE,SHARE_TYPE,TRANSACTION_SHARE_PRICE,TRANSACTION_SHARE_QUANTITY,SHARE_PRICE_3_MONTH,SHARE_PRICE_6_MONTH,SHARE_PRICE_1_YEAR,,,,,,
Donna Shalala,FL,Congress,Democratic,RDUS,RDUS US,US,Radius Health Inc,Buy,4/3/2019,8000,Com,22.29,358,24.19,25.75,12.53,,,,,,
Donna Shalala,FL,Congress,Democratic,WPC,WPC US,US,W. P. Carey Inc,Buy,4/3/2019,8000,Com,78.77,100,81.16,89.5,54.56,,,,,,
Donna Shalala,FL,Congress,Democratic,ZEN,ZEN US,US,Zendesk Inc,Buy,4/3/2019,8000,Com,85.43,92,90.9,72.88,58.94,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,PLAY,PLAY US,US,Dave & Buster's Entertainment Inc,Buy,4/3/2019,8000,Com,52.95,150,39.31,38.95,10.05,,,,,,
Dean Phillips,MN,Congress,Democratic,BLL,BLL US,US,Ball Corp,Buy,4/2/2019,8000,Com NPV,57.98,136,70.26,72.81,64.17,,,,,,
Dean Phillips,MN,Congress,Democratic,DXC,DXC US,US,DXC Technology Co,Buy,4/2/2019,8000,Com,64.19,124,55.94,29.5,11.96,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,VIOT,VIOT US,US,Viomi Technology Co Ltd,Buy,4/2/2019,8000,DR,11.46,698,8.62,8.15,4.47,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,CDNA,CDNA US,US,Caredx Inc,Buy,4/1/2019,8000,Com,31.15,256,35.87,22.61,21.83,,,,,,
Thomas Suozzi,NY,Congress,Democratic,MU,MU US,US,Micron Technology Inc,Buy,3/29/2019,32500,Com,41.33,786,38.07,49.47,44.52,,,,,,
Donna Shalala,FL,Congress,Democratic,TWTR,TWTR US,US,Twitter Inc,Buy,3/28/2019,8000,Com,32.87,242,35.22,41.42,25.29,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,ZUO,ZUO US,US,Zuora Inc,Buy,3/26/2019,8000,Com A,19.48,410,15.12,15.6,8.45,,,,,,
David Joyce,OH,Congress,Republican,VCSH,VCSH US,US,Vanguard Short-Term Corporate Bond ETF,Buy,3/22/2019,32500,Stock Unit,79.63,408,80.63,80.72,75.53,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,ZUO,ZUO US,US,Zuora Inc,Buy,3/22/2019,8000,Com A,20.91,382,15.71,15.49,8.01,,,,,,
Cynthia Axne,IA,Congress,Democratic,DOW,DOW US,US,Dow Inc,Buy,3/21/2019,16001,Com,48.98,326,48.5,48,27.44,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,YEXT,YEXT US,US,Yext Inc,Buy,3/21/2019,8000,Com,22.12,360,20.6,17.92,10.83,,,,,,
Tomasz Malinowski,NJ,Congress,Democratic,DOMO,DOMO US,US,Domo Inc,Buy,3/20/2019,32500,Com B,43.43,748,30.39,17.56,9.16,,,,,,
Donna Shalala,FL,Congress,Democratic,APLE,APLE US,US,Apple Hospitality Reit Inc,Buy,3/19/2019,8000,Ord,16.37,488,15.95,16.34,4.84,,,,,,
Donna Shalala,FL,Congress,Democratic,AVY,AVY US,US,Avery Dennison Corp,Buy,3/19/2019,8000,Com,112.27,70,110.12,112.94,105.46,,,,,,
Donna Shalala,FL,Congress,Democratic,DOMO,DOMO US,US,Domo Inc,Buy,3/19/2019,8000,Com B,44.01,180,30.62,17.56,9.01,,,,,,
Donna Shalala,FL,Congress,Democratic,G,G US,US,Genpact Ltd,Buy,3/19/2019,8000,Com,34.09,234,37.15,39.4,22.65,,,,,,
Donna Shalala,FL,Congress,Democratic,PLNT,PLNT US,US,Planet Fitness Inc,Buy,3/19/2019,8000,Com A,68.07,116,80.9,62.24,27.54,,,,,,
Donna Shalala,FL,Congress,Democratic,PNW,PNW US,US,Pinnacle West Capital Corp,Buy,3/19/2019,8000,Com,94.33,84,97.02,93.49,65.57,,,,,,
Donna Shalala,FL,Congress,Democratic,SRC,SRC US,US,Spirit Realty Capital Inc,Buy,3/19/2019,8000,Com,37,216,44.79,47.25,20.47,,,,,,
