REP_FULLNAME,REP_STATE,REP_TYPE,REP_PARTY,COMPANY_TICKER,COMPANY_CODE,COMPANY_COUNTRY,COMPANY_NAME,TRANSACTION_TYPE,TRANSACTION_DATE,TRANSACTION_PRICE,SHARE_TYPE,TRANSACTION_SHARE_PRICE,TRANSACTION_SHARE_QUANTITY,SHARE_PRICE_3_MONTH,SHARE_PRICE_6_MONTH,SHARE_PRICE_1_YEAR,PERCENT_CHANGE_3_MONTH,PERCENT_CHANGE_6_MONTH,PERCENT_CHANGE_12_MONTH
Gilbert Cisneros,CA,Congress,Democratic,BMRN,BMRN US,US,Biomarin Pharmaceutical Inc,Buy,12/30/2020,32500,Com,86.96,372,74.96,84.43,#N/A,-13.80,-2.91,#N/A
Michael Mccaul,TX,Congress,Republican,SFE,SFE US,US,Safeguard Scientifics Inc,Buy,12/30/2020,150001,Com,6.47,23184,6.75,7.65,#N/A,4.33,18.24,#N/A
Thomas Carper,DE,Senate,Democratic,BMY,BMY US,US,Bristol Myers Squibb Co,Buy,12/30/2020,8000,Com,61.92,128,63.31,66.4,#N/A,2.24,7.24,#N/A
Thomas Carper,DE,Senate,Democratic,NTAP,NTAP US,US,NetApp Inc,Buy,12/30/2020,8000,Com NPV,65.33,122,72.22,82.46,#N/A,10.55,26.22,#N/A
Thomas Carper,DE,Senate,Democratic,SBIO,SBIO US,US,ALPS Medical Breakthroughs ETF,Buy,12/30/2020,8000,Unit,52.56,152,48.04,49.65,#N/A,-8.60,-5.54,#N/A
Thomas Carper,DE,Senate,Democratic,TSLA,TSLA US,US,Tesla Inc,Buy,12/30/2020,8000,Com,694.78,10,635.62,688.72,#N/A,-8.51,-0.87,#N/A
Tomasz Malinowski,NJ,Congress,Democratic,CNF,CNF US,US,Cnfinance Holdings Ltd,Buy,12/30/2020,8000,DR,3.58,2234,3.85,3.1,#N/A,7.54,-13.41,#N/A
Garret Graves,LA,Congress,Republican,PSTH,PSTH US,US,Pershing Square Tontine Holdings Ltd,Buy,12/29/2020,8000,Com A,26.11,306,23.82,22.51,#N/A,-8.77,-13.79,#N/A
Susie Lee,NV,Congress,Democratic,AMRC,AMRC US,US,Ameresco Inc,Buy,12/29/2020,8000,Com A NPV,50.84,156,41.69,64.82,#N/A,-18.00,27.50,#N/A
Susie Lee,NV,Congress,Democratic,HHC,HHC US,US,Howard Hughes Corp,Buy,12/29/2020,8000,Com,79.77,100,92.87,98.51,#N/A,16.42,23.49,#N/A
Susie Lee,NV,Congress,Democratic,SVC,SVC US,US,Service Properties Trust,Buy,12/29/2020,8000,Com,11.6,688,11.92,12.68,#N/A,2.76,9.31,#N/A
Tomasz Malinowski,NJ,Congress,Democratic,CDNA,CDNA US,US,Caredx Inc,Buy,12/29/2020,8000,Com,73.24,108,60.08,95.11,#N/A,-17.97,29.86,#N/A
Virginia Foxx,NC,Congress,Republican,MO,MO US,US,Altria Group Inc,Buy,12/29/2020,8000,Com,40.73,196,52.3,47.18,#N/A,28.41,15.84,#N/A
Christopher Jacobs,NY,Congress,Republican,ASMB,ASMB US,US,Assembly Biosciences Inc,Buy,12/28/2020,8000,Com,6.01,1330,4.33,3.98,#N/A,-27.95,-33.78,#N/A
Christopher Jacobs,NY,Congress,Republican,RETA,RETA US,US,Reata Pharmaceuticals Inc,Buy,12/28/2020,8000,Com A,129.3,60,94.25,151.29,#N/A,-27.11,17.01,#N/A
Christopher Jacobs,NY,Congress,Republican,SRNE,SRNE US,US,Sorrento Therapeutics Inc,Buy,12/28/2020,8000,Com,7.45,1072,7.89,9.9,#N/A,5.91,32.89,#N/A
David Roe,TN,Congress,Republican,AMZN,AMZN US,US,Amazon Com Inc,Buy,12/28/2020,8000,Com,3283.96,2,3075.73,3443.89,#N/A,-6.34,4.87,#N/A
David Roe,TN,Congress,Republican,COST,COST US,US,Costco Wholesale Corp,Buy,12/28/2020,8000,Com,371.06,20,356.15,396.54,#N/A,-4.02,6.87,#N/A
David Roe,TN,Congress,Republican,TWLO,TWLO US,US,Twilio Inc,Buy,12/28/2020,8000,Ord A,355.66,22,315.08,394.12,#N/A,-11.41,10.81,#N/A
