REP_FULLNAME,REP_STATE,REP_TYPE,REP_PARTY,COMPANY_TICKER,COMPANY_CODE,COMPANY_COUNTRY,COMPANY_NAME,TRANSACTION_TYPE,TRANSACTION_DATE,TRANSACTION_PRICE,SHARE_TYPE,TRANSACTION_SHARE_PRICE,TRANSACTION_SHARE_QUANTITY,SHARE_PRICE_3_MONTH,SHARE_PRICE_6_MONTH,SHARE_PRICE_1_YEAR,PERCENT_CHANGE_3_MONTH,PERCENT_CHANGE_6_MONTH,PERCENT_CHANGE_12_MONTH,,,
Walter Schrader,OR,Congress,Democratic,ETN,ETN US,US,Eaton Corp Plc,Buy,5/14/2021,8000,Com NPV,148.16,52,167.17,171.87,#N/A,12.83,16.00,#N/A,,,
Walter Schrader,OR,Congress,Democratic,JPM,JPM US,US,JP Morgan Chase & Co,Buy,5/14/2021,8000,Com,164.01,48,161.79,167.62,#N/A,-1.35,2.20,#N/A,,,
Walter Schrader,OR,Congress,Democratic,NOC,NOC US,US,Northrop Grumman Corp,Buy,5/14/2021,8000,Com,371.61,20,363.86,362.10,#N/A,-2.09,-2.56,#N/A,,,
Joshua Gottheimer,NJ,Congress,Democratic,RVLV,RVLV US,US,Revolve Group Inc,Buy,5/13/2021,8000,Com A,43.77,182,66.06,84.01,#N/A,50.93,91.94,#N/A,,,
Mark Green,TN,Congress,Republican,ENLC,ENLC US,US,Enlink Midstream Llc,Buy,5/13/2021,175000,Stock Unit,4.49,38974,5.49,7.42,#N/A,22.27,65.26,#N/A,,,
Mark Green,TN,Congress,Republican,USAC,USAC US,US,Usa Compression Partners Lp,Buy,5/13/2021,175000,Stock Unit,14.93,11720,15.67,16.06,#N/A,4.96,7.57,#N/A,,,
Michael Mccaul,TX,Congress,Republican,UTHR,UTHR US,US,United Therapeutics Corp,Buy,5/13/2021,40501,Com,193.77,208,202.21,198.93,#N/A,4.36,2.66,#N/A,,,
Richard Allen,GA,Congress,Republican,ACN,ACN US,US,Accenture Plc,Buy,5/13/2021,75000,Com A,285.32,262,319.79,367.47,#N/A,12.08,28.79,#N/A,,,
Rohit Khanna,CA,Congress,Democratic,CSGP,CSGP US,US,Costar Group Inc,Buy,5/13/2021,8000,Com,81.08,98,84.91,83.25,#N/A,4.72,2.68,#N/A,,,
Virginia Foxx,NC,Congress,Republican,AM,AM US,US,Antero Midstream Corp,Buy,5/13/2021,8000,Com,9.22,866,9.35,10.82,#N/A,1.41,17.35,#N/A,,,
Virginia Foxx,NC,Congress,Republican,EPD,EPD US,US,Enterprise Products Partners LP,Buy,5/13/2021,8000,Stock Unit,23.61,338,22.66,22.75,#N/A,-4.02,-3.64,#N/A,,,
Blake Moore,UT,Congress,Republican,HQY,HQY US,US,Healthequity Inc,Buy,5/12/2021,8000,Com,73.64,108,71.82,69.12,#N/A,-2.47,-6.14,#N/A,,,
Blake Moore,UT,Congress,Republican,MSFT,MSFT US,US,Microsoft Corp,Buy,5/12/2021,8000,Com,239,32,286.44,336.99,#N/A,19.85,41.00,#N/A,,,
Douglas Lamborn,CO,Congress,Republican,NTAP,NTAP US,US,NetApp Inc,Buy,5/12/2021,40500,Com NPV,74.34,544,82.58,91.89,#N/A,11.08,23.61,#N/A,,,
James Langevin,RI,Congress,Democratic,GNRC,GNRC US,US,Generac Holdings Inc,Buy,5/12/2021,8000,Com,289.18,26,419.09,448.55,#N/A,44.92,55.11,#N/A,,,
Joshua Gottheimer,NJ,Congress,Democratic,TT,TT US,US,Trane Technologies Plc,Buy,5/12/2021,8000,Com,178.62,44,192.22,187.30,#N/A,7.61,4.86,#N/A,,,
Joshua Gottheimer,NJ,Congress,Democratic,VRSK,VRSK US,US,Verisk Analytics Inc,Buy,5/12/2021,8000,Com NPV,172,46,187.50,214.91,#N/A,9.01,24.95,#N/A,,,
Marjorie Greene,GA,Congress,Republican,AAPL,AAPL US,US,Apple Inc,Buy,5/12/2021,32500,Com NPV,122.77,264,145.60,150.44,#N/A,18.60,22.54,#N/A,,,
Marjorie Greene,GA,Congress,Republican,BDX,BDX US,US,Becton Dickinson & Co,Buy,5/12/2021,8000,Com,241.64,32,238.63,245.27,#N/A,-1.25,1.50,#N/A,,,
Marjorie Greene,GA,Congress,Republican,TFC,TFC US,US,Truist Financial Corp,Buy,5/12/2021,8000,Com,59.61,134,57.96,64.77,#N/A,-2.77,8.66,#N/A,,,
Mark Green,TN,Congress,Republican,ET,ET US,US,Energy Transfer Lp,Buy,5/12/2021,175000,Stock Unit,9.55,18324,9.40,9.35,#N/A,-1.57,-2.09,#N/A,,,
Mark Green,TN,Congress,Republican,PBFX,PBFX US,US,Pbf Logistics Lp,Buy,5/12/2021,375000,Stock Unit,15.15,24752,13.01,13.65,#N/A,-14.13,-9.90,#N/A,,,
Mark Green,TN,Congress,Republican,SHLX,SHLX US,US,Shell Midstream Partners LP,Buy,5/12/2021,750000,Stock Unit,14.78,50744,12.49,12.43,#N/A,-15.49,-15.90,#N/A,,,
Michael Mccaul,TX,Congress,Republican,HLI,HLI US,US,Houlihan Lokey Inc,Buy,5/12/2021,40501,Ord A,70.37,574,88.38,116.63,#N/A,25.59,65.74,#N/A,,,
Michael Mccaul,TX,Congress,Republican,PRI,PRI US,US,Primerica Inc,Buy,5/12/2021,40501,Com,154.05,262,151.06,175.17,#N/A,-1.94,13.71,#N/A,,,
Michael Mccaul,TX,Congress,Republican,UTHR,UTHR US,US,United Therapeutics Corp,Buy,5/12/2021,107501,Com,195.49,548,204.34,202.09,#N/A,4.53,3.38,#N/A,,,
Victoria Spartz,IN,Congress,Republican,SPG,SPG US,US,Simon Property Group Inc,Buy,5/12/2021,175000,Com,117.62,1486,132.11,167.39,#N/A,12.32,42.31,#N/A,,,
Virginia Foxx,NC,Congress,Republican,NHI,NHI US,US,National Health Investors Inc,Buy,5/12/2021,32500,Com,65.65,494,62.49,54.40,#N/A,-4.81,-17.14,#N/A,,,
Blake Moore,UT,Congress,Republican,BABA,9988 HK,HK,Alibaba Group Holding Ltd,Buy,5/11/2021,8000,DR,221.38,36,195.25,162.16,#N/A,-11.80,-26.75,#N/A,,,
Blake Moore,UT,Congress,Republican,AAPL,AAPL US,US,Apple Inc,Buy,5/11/2021,8000,Com NPV,125.91,62,146.09,150.44,#N/A,16.03,19.48,#N/A,,,
Blake Moore,UT,Congress,Republican,BAC,BAC US,US,Bank of America Corp,Buy,5/11/2021,8000,Com,41.57,192,40.67,47.34,#N/A,-2.17,13.88,#N/A,,,
Blake Moore,UT,Congress,Republican,BRKB,BRKB US,US,Berkshire Hathaway Inc,Buy,5/11/2021,8000,Com B,2050,2,2317.00,2837.00,#N/A,13.02,38.39,#N/A,,,
Blake Moore,UT,Congress,Republican,HQY,HQY US,US,Healthequity Inc,Buy,5/11/2021,8000,Com,72.16,110,72.41,69.12,#N/A,0.35,-4.21,#N/A,,,
Blake Moore,UT,Congress,Republican,RTX,RTX US,US,Raytheon Technologies Corp,Buy,5/11/2021,8000,Com,84.33,94,87.08,90.71,#N/A,3.26,7.57,#N/A,,,
Edwin Perlmutter,CO,Congress,Democratic,GOOGL,GOOGL US,US,Alphabet Inc,Buy,5/11/2021,8000,Com C NPV,2270.06,2,2738.26,2980.62,#N/A,20.63,31.30,#N/A,,,
Michael Mccaul,TX,Congress,Republican,ALL,ALL US,US,Allstate Corp,Buy,5/11/2021,450001,Com,134.13,3354,132.68,117.06,#N/A,-1.08,-12.73,#N/A,,,
Michael Mccaul,TX,Congress,Republican,PAHC,PAHC US,US,Phibro Animal Health Corp,Buy,5/11/2021,16001,Com A,26.38,606,23.99,22.16,#N/A,-9.06,-16.00,#N/A,,,
Michael Mccaul,TX,Congress,Republican,PLXS,PLXS US,US,Plexus Corp,Buy,5/11/2021,16001,Com,94.76,168,88.50,93.23,#N/A,-6.61,-1.61,#N/A,,,
Tomasz Malinowski,NJ,Congress,Democratic,QDEL,QDEL US,US,Quidel Corp,Buy,5/11/2021,32500,Com,114.72,282,129.87,125.94,#N/A,13.21,9.78,#N/A,,,
James Langevin,RI,Congress,Democratic,GNRC,GNRC US,US,Generac Holdings Inc,Buy,5/10/2021,8000,Com,305.21,26,417.86,448.55,#N/A,36.91,46.96,#N/A,,,
John Hickenlooper,CO,Senate,Democratic,TTD,TTD US,US,Trade Desk Inc,Buy,5/10/2021,32500,Com A,48.96,662,81.32,88.75,#N/A,66.09,81.27,#N/A,,,
Michael Mccaul,TX,Congress,Republican,CAG,CAG US,US,Conagra Brands Inc,Buy,5/10/2021,450001,Com,38.25,11764,33.15,32.29,#N/A,-13.33,-15.58,#N/A,,,
Mark Green,TN,Congress,Republican,NGL,NGL US,US,NGL Energy Partners Lp,Buy,5/9/2021,8000,Stock Unit,2.25,3554,1.86,2.29,#N/A,-17.33,1.78,#N/A,,,
Earl Blumenauer,OR,Congress,Democratic,PFE,PFE US,US,Pfizer Inc,Buy,5/7/2021,8000,Com,39.58,202,45.06,44.82,#N/A,13.85,13.24,#N/A,,,
Frederick Upton,MI,Congress,Republican,AI,AI US,US,C3.ai Inc,Buy,5/7/2021,32500,Com A,56.35,576,49.41,49.50,#N/A,-12.32,-12.16,#N/A,,,
Mark Green,TN,Congress,Republican,ET,ET US,US,Energy Transfer Lp,Buy,5/7/2021,32500,Stock Unit,9.84,3302,9.12,9.68,#N/A,-7.32,-1.63,#N/A,,,
Mark Green,TN,Congress,Republican,PBFX,PBFX US,US,Pbf Logistics Lp,Buy,5/7/2021,175000,Stock Unit,16.21,10794,13.01,13.59,#N/A,-19.74,-16.16,#N/A,,,
Michael Mccaul,TX,Congress,Republican,FB,FB US,US,Facebook Inc,Buy,5/7/2021,350001,Com A,319.08,1096,362.97,331.62,#N/A,13.76,3.93,#N/A,,,
Michael Mccaul,TX,Congress,Republican,GOOGL,GOOGL US,US,Alphabet Inc,Buy,5/7/2021,350001,Com A NPV,2351.93,148,2725.03,2931.96,#N/A,15.86,24.66,#N/A,,,
Tomasz Malinowski,NJ,Congress,Democratic,LL,LL US,US,Lumber Liquidators Holdings Inc,Buy,5/7/2021,32500,Com,24.19,1342,19.87,18.38,#N/A,-17.86,-24.02,#N/A,,,
Trey Hollingsworth,IN,Congress,Republican,MMP,MMP US,US,Magellan Midstream Partners Lp,Buy,5/7/2021,75000,Stock Unit,47.95,1564,45.94,50.80,#N/A,-4.19,5.94,#N/A,,,
Mark Green,TN,Congress,Republican,ET,ET US,US,Energy Transfer Lp,Buy,5/6/2021,75000,Stock Unit,9.2,8152,9.27,9.83,#N/A,0.76,6.85,#N/A,,,
Mark Green,TN,Congress,Republican,NGL,NGL US,US,NGL Energy Partners Lp,Buy,5/6/2021,8000,Stock Unit,2.12,3772,1.74,2.22,#N/A,-17.92,4.72,#N/A,,,
Mark Green,TN,Congress,Republican,PBFX,PBFX US,US,Pbf Logistics Lp,Buy,5/6/2021,375000,Stock Unit,15.72,23854,12.93,13.71,#N/A,-17.75,-12.79,#N/A,,,
Michael Mccaul,TX,Congress,Republican,NVDA,NVDA US,US,NVIDIA Corp,Buy,5/6/2021,65001,Com,145.23,446,202.74,264.01,#N/A,39.60,81.79,#N/A,,,
Michael Mccaul,TX,Congress,Republican,UPS,UPS US,US,United Parcel Service Inc,Buy,5/6/2021,65001,Com B,214.78,302,190.79,209.14,#N/A,-11.17,-2.63,#N/A,,,
Rohit Khanna,CA,Congress,Democratic,ARES,ARES US,US,Ares Management Corp,Buy,5/6/2021,8000,Ord A,53.71,148,72.66,84.80,#N/A,35.28,57.88,#N/A,,,
Thomas Tuberville,AL,Senate,Republican,X,X US,US,United States Steel Corp,Buy,5/6/2021,175000,Com,25.96,6740,25.24,25.86,#N/A,-2.77,-0.39,#N/A,,,
Tomasz Malinowski,NJ,Congress,Democratic,PCRX,PCRX US,US,Pacira Biosciences Inc,Buy,5/6/2021,8000,Com,63.21,126,60.28,53.64,#N/A,-4.64,-15.14,#N/A,,,
Austin Scott,GA,Congress,Republican,BLDP,BLDP CN,CN,Ballard Power Systems Inc,Buy,5/5/2021,8000,Com NPV,15.59,512,15.63,19.07,#N/A,0.26,22.32,#N/A,,,
Lois Frankel,FL,Congress,Democratic,TMO,TMO US,US,Thermo Fisher Scientific Inc,Buy,5/5/2021,8000,Com,467.77,16,536.99,635.10,#N/A,14.80,35.77,#N/A,,,
Mark Green,TN,Congress,Republican,ET,ET US,US,Energy Transfer Lp,Buy,5/5/2021,175000,Stock Unit,8.95,19552,9.71,9.93,#N/A,8.49,10.95,#N/A,,,
Mark Green,TN,Congress,Republican,NGL,NGL US,US,NGL Energy Partners Lp,Buy,5/5/2021,8000,Stock Unit,2.13,3754,1.84,2.35,#N/A,-13.62,10.33,#N/A,,,
Mark Green,TN,Congress,Republican,PBFX,PBFX US,US,Pbf Logistics Lp,Buy,5/5/2021,375000,Stock Unit,15.52,24162,13.30,13.83,#N/A,-14.30,-10.89,#N/A,,,
Michael Mccaul,TX,Congress,Republican,NFLX,NFLX US,US,Netflix Inc,Buy,5/5/2021,250001,Com,496.08,502,510.82,681.17,#N/A,2.97,37.31,#N/A,,,
Michael Mccaul,TX,Congress,Republican,NVDA,NVDA US,US,NVIDIA Corp,Buy,5/5/2021,107501,Com,144.59,742,198.15,258.27,#N/A,37.04,78.62,#N/A,,,
Michael Mccaul,TX,Congress,Republican,UPS,UPS US,US,United Parcel Service Inc,Buy,5/5/2021,65001,Com B,214.52,302,194.15,210.90,#N/A,-9.50,-1.69,#N/A,,,
Thomas Suozzi,NY,Congress,Democratic,CVS,CVS US,US,CVS Health Corp,Buy,5/5/2021,8000,Com,83.04,96,84.00,90.65,#N/A,1.16,9.16,#N/A,,,
Thomas Suozzi,NY,Congress,Democratic,MRVL,MRVL US,US,Marvell Technology Inc,Buy,5/5/2021,8000,Com NPV,44.79,178,61.34,68.96,#N/A,36.95,53.96,#N/A,,,
Trey Hollingsworth,IN,Congress,Republican,MMP,MMP US,US,Magellan Midstream Partners Lp,Buy,5/5/2021,75000,Stock Unit,48.06,1560,48.01,49.75,#N/A,-0.10,3.52,#N/A,,,
John Hickenlooper,CO,Senate,Democratic,PTON,PTON US,US,Peloton Interactive Inc,Buy,5/4/2021,8000,Com A,96.7,82,120.69,92.83,#N/A,24.81,-4.00,#N/A,,,
Michael Mccaul,TX,Congress,Republican,UPS,UPS US,US,United Parcel Service Inc,Buy,5/4/2021,65001,Com B,214.31,302,191.94,210.90,#N/A,-10.44,-1.59,#N/A,,,
Richard Allen,GA,Congress,Republican,ALB,ALB US,US,Albemarle Corp,Buy,5/4/2021,32500,Com,162.11,200,206.90,255.87,#N/A,27.63,57.84,#N/A,,,
Richard Allen,GA,Congress,Republican,JNJ,JNJ US,US,Johnson & Johnson,Buy,5/4/2021,32500,Com,167.77,192,172.27,163.02,#N/A,2.68,-2.83,#N/A,,,
Rohit Khanna,CA,Congress,Democratic,MTCH,MTCH US,US,Match Group Inc,Buy,5/4/2021,8000,Com,138.93,56,161.34,154.09,#N/A,16.13,10.91,#N/A,,,
Virginia Foxx,NC,Congress,Republican,T,T US,US,AT&T Inc,Buy,5/4/2021,8000,Com,32.02,248,28.11,25.37,#N/A,-12.21,-20.77,#N/A,,,
Blake Moore,UT,Congress,Republican,AMZN,AMZN US,US,Amazon Com Inc,Buy,5/3/2021,8000,Com,3386.49,2,3331.48,3318.11,#N/A,-1.62,-2.02,#N/A,,,
Edward Case,HI,Congress,Democratic,MSFT,MSFT US,US,Microsoft Corp,Buy,5/3/2021,75000,Com,251.86,296,284.82,329.37,#N/A,13.09,30.78,#N/A,,,
Mark Green,TN,Congress,Republican,ENBL,ENBL US,US,Enable Midstream Partners Lp,Buy,5/3/2021,375000,Stock Unit,7.41,50606,8.24,8.47,#N/A,11.20,14.30,#N/A,,,
Mark Green,TN,Congress,Republican,ET,ET US,US,Energy Transfer Lp,Buy,5/3/2021,375000,Stock Unit,8.63,43452,9.70,9.93,#N/A,12.40,15.06,#N/A,,,
Michael Mccaul,TX,Congress,Republican,MNST,MNST US,US,Monster Beverage Corp,Buy,5/3/2021,107501,Com,97.61,1100,93.36,85.46,#N/A,-4.35,-12.45,#N/A,,,
Michael Mccaul,TX,Congress,Republican,UPS,UPS US,US,United Parcel Service Inc,Buy,5/3/2021,75000,Com B,212.2,352,191.94,210.90,#N/A,-9.55,-0.61,#N/A,,,
Patrick Fallon,TX,Congress,Republican,KKR,KKR US,US,KKR & Co Inc,Buy,5/3/2021,32500,Com A,56.27,576,63.54,77.65,#N/A,12.92,38.00,#N/A,,,
Virginia Foxx,NC,Congress,Republican,MO,MO US,US,Altria Group Inc,Buy,5/3/2021,8000,Com,48.37,164,47.73,44.05,#N/A,-1.32,-8.93,#N/A,,,
Blake Moore,UT,Congress,Republican,AAPL,AAPL US,US,Apple Inc,Buy,4/30/2021,8000,Com NPV,131.46,60,145.64,148.85,#N/A,10.79,13.23,#N/A,,,
Blake Moore,UT,Congress,Republican,AXP,AXP US,US,American Express Co,Buy,4/30/2021,8000,Com,153.35,52,171.95,178.03,#N/A,12.13,16.09,#N/A,,,
Blake Moore,UT,Congress,Republican,BAC,BAC US,US,Bank of America Corp,Buy,4/30/2021,8000,Com,40.53,196,38.68,47.04,#N/A,-4.56,16.06,#N/A,,,
Blake Moore,UT,Congress,Republican,BRKB,BRKB US,US,Berkshire Hathaway Inc,Buy,4/30/2021,8000,Com B,1966,4,2316.50,2653.50,#N/A,17.83,34.97,#N/A,,,
Blake Moore,UT,Congress,Republican,HQY,HQY US,US,Healthequity Inc,Buy,4/30/2021,8000,Com,75.97,104,74.57,65.73,#N/A,-1.84,-13.48,#N/A,,,
Blake Moore,UT,Congress,Republican,JNJ,JNJ US,US,Johnson & Johnson,Buy,4/30/2021,8000,Com,162.73,48,172.18,163.74,#N/A,5.81,0.62,#N/A,,,
Blake Moore,UT,Congress,Republican,MSFT,MSFT US,US,Microsoft Corp,Buy,4/30/2021,8000,Com,252.18,30,286.50,323.17,#N/A,13.61,28.15,#N/A,,,
Blake Moore,UT,Congress,Republican,RTX,RTX US,US,Raytheon Technologies Corp,Buy,4/30/2021,8000,Com,83.24,96,87.65,89.16,#N/A,5.30,7.11,#N/A,,,
Kathy Manning,NC,Congress,Democratic,AMGN,AMGN US,US,Amgen Inc,Buy,4/30/2021,8000,Com,239.64,32,242.46,206.58,#N/A,1.18,-13.80,#N/A,,,
